Campus,Matricula,Estado,AdeudoEnero,AdeudoFebrero,AdeudoMarzo
UTEL,10255449,Activo,19221,0,0
UTEL,10276067,Activo,20019,0,0
UTEL,10280891,Activo,15256,0,800
UTEL,10281713,Activo,16038,3983,3330
UTEL,10281906,Activo,14462,0,0
UTEL,10290446,Activo,15052,0,4074
UTEL,10290905,Activo,13414,208,4074
UTEL,10563722,Activo,13781,0,6326
UTEL,20280450,Activo,13921,9306,800
UTEL,20284642,Activo,12614,800,800
UTEL,20288059,Activo,11614,0,3635
UTEL,20289827,Activo,12613,0,8439
UTEL,10213587,Activo,16467,0,4199
UTEL,10254145,Activo,19924,0,800
UTEL,10257196,Activo,17167,0,3405
UTEL,10275561,Activo,18684,0,0
UTEL,10276601,Activo,12407,3174,0
UTEL,20259633,Activo,20495,800,0
UTEL,20260087,Activo,17424,800,0
UTEL,20264176,Activo,16065,0,0
UTEL,20268328,Activo,17670,0,0
UTEL,20268542,Activo,17670,0,0
UTEL,20271704,Activo,20495,800,0
UTEL,10255521,Activo,22148,175,2975
UTEL,20253229,Activo,16059,0,3274
UTEL,10046806,Activo,11987,6014,-21222
UTEL,10089868,Activo,24524.3,0,800
UTEL,10090514,Activo,21778.42,0,2750
UTEL,10091138,Activo,6198,0,800
UTEL,10093610,Activo,21797,0,800
UTEL,10094590,Activo,6270,10674,0
UTEL,10095624,Activo,7259,0,0
UTEL,10096795,Activo,6376,2430,800
UTEL,10097123,Activo,39743,6966,800
UTEL,10187921,Activo,6554,3916,1656
UTEL,10188657,Activo,6112,0,800
UTEL,10191066,Activo,6112,0,5806
UTEL,10193303,Activo,6306,0,0
UTEL,10200373,Activo,34537,0,0
UTEL,10204480,Activo,27955.5,0,0
UTEL,10209394,Activo,14318,0,0
UTEL,10233311,Activo,35478,0,0
UTEL,10237845,Activo,15922,0,3124
UTEL,10237946,Activo,23260,0,3124
UTEL,10238167,Activo,19924,0,10281
UTEL,10250235,Activo,21356,0,0
UTEL,20205077,Activo,17859,0,2065
UTEL,20222454,Activo,14565,0,3124
UTEL,20222708,Activo,45895,5886,2888
UTEL,20227975,Activo,18446,0,1500
UTEL,20236143,Activo,17142,1951.39,0
UTEL,20249563,Activo,27167,11058,0
UTEL,10018953,Activo,5231,0,3724
UTEL,10022543,Activo,5230,-2750,3118
UTEL,10082898,Activo,4298,0,10138
UTEL,10091004,Activo,5230,0,16736
UTEL,10093975,Activo,6109,0,3908
UTEL,10187017,Activo,5230,0,3577
UTEL,10281039,Activo,800,0,1
UTEL,10281160,Activo,0,8943,3124
UTEL,10284538,Activo,5430,0,19299
UTEL,10284696,Activo,5430,9230,3124
UTEL,10284864,Activo,5430,0,3124
UTEL,10286276,Activo,8007,0,3124
UTEL,10288090,Activo,5430,0,3124
UTEL,10289935,Activo,-54522,0,3465
UTEL,10292150,Activo,5430,0,-4965
UTEL,10296473,Activo,5430,-175,1
UTEL,10296731,Activo,5430,0,1
UTEL,10301680,Activo,5400,0,3465
UTEL,10307204,Activo,15338,0,3465
UTEL,10308090,Activo,7100,16887,3465
